id,artist,review_ids
538,avail,['11647']
539,avarus,['9232']
540,aveo,"['387', '386']"
541,avey tare,"['14764', '10153']"
542,avey tares slasher flicks,['19200']
543,avi buffalo,"['19719', '14175']"
544,awesome color,"['14030', '12097', '9457']"
545,awesome new republic,['495']
546,awol one,['389']
547,awol one & fat jack,['390']
548,axis: sova,"['22479', '20169']"
549,axolotl,['10015']
550,axxa/abraxas,['19091']
551,ayatollah,['501']
552,aye nako,"['20927', '18205']"
553,ayshay,['15902']
554,azari & iii,['15774']
555,azealia banks,"['21790', '19998', '16950', '16775']"
556,azeda booth,['12112']
557,azeem,['430']
558,azekel,['20686']
559,azita,"['12700', '9061', '397', '396']"
560,aziz ansari,['13832']
561,aztec camera,['18867']
562,azure ray,"['14676', '402', '401', '398', '399', '400']"
563,azusa plane,['16379']
564,b l a c k i e,['19698']
565,b. fleischmann,"['12777', '3282']"
566,b.j. nilsen,['5888']
567,b.o.b,['14242']
568,baaba maal,['13760']
569,baauer,['21738']
570,babatunde olatunji,['13258']
571,babbletron,['1092']
572,babe rainbow,"['19547', '14019']"
573,bablicon,"['510', '509', '508']"
574,babu,['511']
575,baby blak,['1102']
576,baby charles,['12740']
577,baby dee,"['15240', '14192', '11140']"
578,baby elephant,['10723']
579,baby huey,['1151']
580,baby teeth,['13259']
581,babyface,['21228']
582,babyfather,['21702']
583,babyshambles,"['12004', '10816', '9708', '1182']"
584,bacao rhythm & steel band,['21908']
585,bachelorette,"['15477', '13227']"
586,bad bad hats,['20798']
587,bad brains,"['17329', '10376', '9655', '519']"
588,bad lieutenant,['13563']
589,bad rabbits,['18181']
590,bad religion,"['522', '520']"
591,badbadnotgood,"['22109', '20196']"
592,badgerlore,"['10341', '525', '524']"
593,badly drawn boy,"['14884', '13826', '9526', '529', '527', '528', '526']"
594,bailter space,['536']
595,baio,['16669']
596,bakonour,['1171']
597,balam acab,"['15766', '14548']"
598,balance and composure,"['22376', '18388']"
599,balkan beat box,['10421']
600,ballet school,['19720']
601,balmorhea,"['13990', '13066', '11117']"
602,bambi molesters,"['539', '538']"
603,banco de gaia,"['541', '540']"
604,band of horses,"['21995', '18938', '17042', '14243', '10757', '1200']"
605,bandshell,['17763']
606,bang lime,['10610']
607,bangs,['545']
608,banjo or freakout,"['15137', '14749']"
609,bankroll fresh,['20499']
610,banks,"['22489', '19787']"
611,banks & steelz,['22364']
612,baobinga and co.,['15677']
613,baptist generals,['11661']
614,barbara manning,"['5085', '5086']"
615,barbara morgenstern,"['14904', '12704', '12488', '9039', '5428']"
616,barbez,['1140']
617,barcelona,"['558', '557', '559']"
618,bardo pond,"['14993', '12971', '8999', '562', '560', '561']"
619,bare mutants,['18377']
620,bark psychosis,['1132']
621,barn owl,['17911']
622,barnett + coloccia,['18794']
623,barnt,['19841']
624,baroness,"['21179', '18339', '16771', '13603', '10646']"
625,barr,"['9960', '1194']"
626,barry adamson,"['12113', '9196', '47']"
627,bart davenport,['19137']
628,barton carroll,"['13769', '11084']"
629,basement,['21489']
630,basement jaxx,"['19746', '13857', '13519', '9382', '574', '573', '571']"
631,basia bulat,"['13903', '10538']"
632,basic channel,['12081']
633,basic soul unit,['21223']
634,bass drum of death,"['18229', '15350']"
635,bassnectar,['10485']
636,bat for lashes,"['22067', '17174', '12910', '9855']"
637,baths,"['19317', '18065', '15837', '14433']"
638,batida,['21696']
639,batillus,['17823']
640,bats and mice,['584']
641,battle trance,['22258']
642,battles,"['21140', '16514', '15469', '10770', '10225', '11695', '1120', '11693']"
643,battletorn,['1165']
644,bauhaus,['11333']
645,bbu,['16353']
646,bc camplight,['11023']
647,be your own pet,"['11297', '9083']"
648,beach fossils,"['17621', '15161', '14281']"
649,beach house,"['21197', '20691', '16604', '13872', '11208', '9502']"
650,beach slang,"['22370', '21053', '19261']"
651,beaches,['18025']
652,beachwood sparks,"['18758', '16755', '599', '598', '600']"
653,beacon,['18142']
654,beady eye,['18206']
655,beak>,"['16697', '13602']"
656,beanie sigel,"['17071', '13448', '10960', '7808']"
657,beans,"['15112', '12140', '605', '604', '603', '602', '601']"
658,bear hands,['14879']
659,bear in heaven,"['19582', '16440', '14653', '13618', '10886']"
660,bear vs. shark,['1163']
661,bearsuit,['1160']
662,beastie boys,"['15398', '13527', '13319', '12923', '12671', '10374', '609', '608', '607']"
663,beat happening,"['21245', '1073']"
664,beat spacek,['20226']
665,beatking,"['20751', '19623']"
666,beatriz ferreyra,['20526']
667,beauty pill,"['20514', '614']"
668,bebel gilberto,['3451']
669,bebetune$,['16171']
670,beck,"['18959', '12936', '11977', '11104', '9980', '9485', '622', '621', '617', '616']"
671,bedhead,['19717']
672,bee gees,"['12655', '11153']"
673,beedeegee,['18788']
674,beep beep,['1126']
675,beequeen,['1150']
676,begushkin,['10944']
677,behemoth,['19021']
678,behold...the arctopus,['1152']
679,beirut,"['21003', '15715', '10759', '9826', '1204']"
680,beirut/realpeople,['12689']
681,belbury poly,['16308']
682,bell gardens,['19764']
683,bell orchestre,"['13795', '12820', '1174']"
684,bell witch,"['20352', '17450']"
685,bell x1,['11248']
686,belle and sebastian,"['20135', '18413', '16428', '14731', '12443', '640', '639', '638', '637', '11671', '633', '629', '631']"
687,bellini,"['642', '641']"
688,belong,"['15235', '11176', '1196']"
689,bembeya jazz national,['10767']
690,ben + vesper,"['15071', '10171']"
691,ben bridwell,['20697']
692,ben browning,['16397']
693,ben chasny,['16437']
694,ben folds,['12370']
695,ben folds five,"['17058', '3139', '644', '11741', '3136', '3135', '645']"
696,ben frost,"['22713', '20053', '19302', '13809']"
697,ben gibbard,['17176']
698,ben harper,"['3747', '3748']"
699,ben khan,['20615']
700,ben klock,"['14556', '12803']"
701,ben kweller,"['16323', '12647', '9531', '4553', '4552']"
702,ben lee,"['4713', '4712']"
703,ben salisbury,['16600']
704,ben sollee and daniel martin moore,['14032']
705,ben ufo,['17553']
706,ben watt,['21742']
707,benedek,['19084']
708,benevento/russo duo,['9901']
709,benga,['18146']
710,benjamin damage,['17652']
711,benjamin damage & doc daneeka,['16241']
712,benjamin lazar davis,['22553']
713,benji hughes,['21382']
714,benjy ferree,"['12660', '9870']"
715,benni hemm hemm,['10269']
716,benny hester,['21564']
717,benot pioulard,"['20304', '17670', '14735', '12329', '9628']"
718,bent shapes,"['21650', '18347']"
719,bergheim 34,['661']
720,bergraven,"['13256', '10467']"
721,berner,['20844']
722,bert jansch,"['20716', '9527']"
723,best coast,"['20554', '18623', '16609', '15524', '14472']"
724,best of seth,['10070']
725,beth gibbons,['3446']
726,beth hirsch,['3878']
727,beth israel,['19117']
728,beth orton,"['21917', '17126', '12898', '6050', '6049', '6046']"
729,bettie serveert,"['676', '674', '673']"
730,betty davis,"['22111', '11903']"
731,bettye lavette,"['14394', '10719']"
732,beulah,"['677', '680', '678']"
733,bevel,['681']
734,beverly,['19540']
735,bexar bexar,['1089']
736,beyonc,"['21867', '18821', '15585', '12462', '9378']"
737,bibi bourelly,['22623']
738,bibio,"['22352', '21551', '18944', '18006', '15279', '13707', '13125', '12793', '1138', '1137']"
739,big baby gandhi,['16484']
740,big black delta,['21857']
741,big boi,"['17294', '14424']"
742,big boys,['19353']
743,big business,"['22098', '18809', '15740', '13055', '9954']"
744,big dipper,['11336']
745,big freedia,['19461']
746,big grams,['21166']
747,big k.r.i.t.,"['20029', '18021', '16702', '16375', '15763', '15312', '14285']"
748,big noble,['20210']
749,big sean,"['20220', '15605']"
750,big star,"['22348', '18212', '13444', '13101', '8981', '1078']"
751,big thief,['21828']
752,big troubles,"['15839', '14956']"
753,big ups,"['21642', '18887']"
754,big'n,['691']
755,bigger lovers,['1108']
756,biirdie,['11122']
757,bike for three!,['12967']
758,bikeride,"['693', '692']"
759,bikini kill,"['19153', '17434']"
760,bilal,"['20647', '17816']"
761,bill callahan,"['18866', '18491', '15285', '14135', '12929', '10139']"
762,bill dixon,['12225']
763,bill evans,['21799']
764,bill fay,"['20475', '17012']"
765,bill frisell,['3208']
766,bill hicks,['11753']
767,bill laswell,"['4697', '4698']"
768,bill orcutt,"['18541', '18114', '15875', '14989']"
769,bill ryder-jones,['18073']
770,bill wells,['15454']
771,billie holiday,"['10777', '4014']"
772,billow observatory,['17461']
773,billy bragg,"['16518', '11423', '904', '902']"
774,billy corgan,['1810']
775,billy hart,['6121']
776,billy mahonie,['696']
777,billy woods,['18405']
778,bing & ruth,"['21256', '19887']"
779,bing ji ling,['1106']
780,bionaut,['707']
781,biosphere,"['22302', '15626', '710', '709']"
782,birchville cat motel,['1203']
783,bird show,['9046']
784,birddog,['715']
785,birdman,['19901']
786,birdmonster,"['12288', '9341']"
787,birdtree,['1088']
788,birdwatcher,['718']
789,bis,"['724', '725', '722']"
790,bishop allen,"['12831', '10449']"
791,bishop nehru,['22036']
792,bison b.c.,['17398']
793,bitchin bajas,"['21591', '20959', '20476', '19615', '18425']"
794,"bitter, bitter weeks",['726']
795,biz markie,['5568']
796,bj the chicago kid,['21544']
797,bjarki,['22042']
798,bjrk,"['21232', '20181', '17386', '15915', '14436', '13254', '10204', '9250', '739', '737', '11675', '727', '729']"
799,bjrn torske,"['18790', '14885', '10458']"
800,black anvil,['19440']
801,black bananas,"['19443', '16209']"
